1#1+ы#1+а#1+ов#1+у#1+ам#1#1+ы#1+ом#1+ами#1+е#1+ах
0=аборт,1=аборт
0=грохот,1=грохот
0=груз,1=груз
0=грунт,1=грунт
0=гул,1=гул
0=дар,1=дар
0=двор,1=двор
0=дебют,1=дебют
0=департамент,1=департамент
0=десант,1=десант
0=дефект,1=дефект
0=дефицит,1=дефицит
0=джаз,1=джаз
0=джип,1=джип
0=диагноз,1=диагноз
0=диаметр,1=диаметр
0=диапазон,1=диапазон
0=диван,1=диван
0=дивиденд,1=дивиденд
0=дивизион,1=дивизион
0=дизайн,1=дизайн
0=диплом,1=диплом
0=довод,1=довод
0=договор,1=договор
0=доклад,1=доклад
0=документ,1=документ
0=доллар,1=доллар
0=донос,1=донос
0=допрос,1=допрос
0=доступ,1=доступ
0=доход,1=доход
0=дуб,1=дуб
0=дуэт,1=дуэт
0=дым,1=дым
0=жанр,1=жанр
0=жар,1=жар
0=жест,1=жест
0=живот,1=живот
0=жир,1=жир
0=журнал,1=журнал
0=забор,1=забор
0=завал,1=завал
0=завет,1=завет
0=завод,1=завод
0=загар,1=загар
0=заговор,1=заговор
0=загс,1=загс
0=зад,1=зад
0=заезд,1=заезд
0=заказ,1=заказ
0=закат,1=закат
0=закон,1=закон
0=законопроект,1=законопроект
0=зал,1=зал
0=залив,1=залив
0=залп,1=залп
0=занавес,1=занавес
0=запад,1=запад
0=запас,1=запас
0=запрет,1=запрет
0=запрос,1=запрос
0=заряд,1=заряд
0=затвор,1=затвор
0=захват,1=захват
0=заход,1=заход
0=зачет,1=зачёт
0=звон,1=звон
0=зенит,1=зенит
0=зов,1=зов
0=зуб,1=зуб
0=идеал,1=идеал
0=изгиб,1=изгиб
0=износ,1=износ
0=изолятор,1=изолятор
0=ил,1=ил
0=иммунитет,1=иммунитет
0=импорт,1=импорт
0=импульс,1=импульс
0=индекс,1=индекс
0=индикатор,1=индикатор
0=инстинкт,1=инстинкт
0=институт,1=институт
0=инструмент,1=инструмент
0=интеллект,1=интеллект
0=интервал,1=интервал
0=интерес,1=интерес
0=интерфейс,1=интерфейс
0=интерьер,1=интерьер
0=инфаркт,1=инфаркт
0=инцидент,1=инцидент
0=ион,1=ион
0=ислам,1=ислам
0=исполком,1=исполком
0=исход,1=исход
0=кабинет,1=кабинет
0=кадр,1=кадр
0=кайф,1=кайф
0=калибр,1=калибр
0=камин,1=камин
0=канал,1=канал
0=канат,1=канат
0=канон,1=канон
0=кант,1=кант
0=канун,1=канун
0=капитал,1=капитал
0=капитализм,1=капитализм
0=капот,1=капот
0=каприз,1=каприз
0=карабин,1=карабин
0=караван,1=караван
0=караул,1=караул
0=каркас,1=каркас
0=карман,1=карман
0=карьер,1=карьер
0=катализатор,1=катализатор
0=катер,1=катер
0=квадрат,1=квадрат
0=квартал,1=квартал
0=кедр,1=кедр
0=керосин,1=керосин
0=килограмм,1=килограмм
0=километр,1=километр
0=кинематограф,1=кинематограф
0=кинжал,1=кинжал
0=кинотеатр,1=кинотеатр
0=кинофильм,1=кинофильм
0=кислород,1=кислород
0=клад,1=клад
0=клан,1=клан
0=клапан,1=клапан
0=класс,1=класс
0=кластер,1=кластер
0=климат,1=климат
0=клуб,1=клуб
0=клюв,1=клюв
0=кнут,1=кнут
0=код,1=код
0=кодекс,1=кодекс
0=коллектив,1=коллектив
0=колхоз,1=колхоз
0=комбайн,1=комбайн
0=комбинат,1=комбинат
0=комбинезон,1=комбинезон
0=комитет,1=комитет
0=коммунизм,1=коммунизм
0=комплекс,1=комплекс
0=комплект,1=комплект
0=комплимент,1=комплимент
0=компонент,1=компонент
0=компот,1=компот
0=компромисс,1=компромисс
0=компьютер,1=компьютер
0=комсомол,1=комсомол
0=комфорт,1=комфорт
0=кон,1=кон
0=конвейер,1=конвейер
0=конверт,1=конверт
0=конгресс,1=конгресс
0=кондиционер,1=кондиционер
0=конкурс,1=конкурс
0=контакт,1=контакт
0=контейнер,1=контейнер
0=контекст,1=контекст
0=контингент,1=контингент
0=континент,1=континент
0=контракт,1=контракт
0=контраст,1=контраст
0=контур,1=контур
0=конфликт,1=конфликт
0=концентрат,1=концентрат
0=концерн,1=концерн
0=концерт,1=концерт
0=кооператив,1=кооператив
0=коридор,1=коридор
0=корт,1=корт
0=космос,1=космос
0=костюм,1=костюм
0=кошмар,1=кошмар
0=коэффициент,1=коэффициент
0=кран,1=кран
0=кредит,1=кредит
0=крем,1=крем
0=крест,1=крест
0=кризис,1=кризис
0=криминал,1=криминал
0=кристалл,1=кристалл
0=кувшин,1=кувшин
0=культ,1=культ
0=курорт,1=курорт
0=курс,1=курс
0=куст,1=куст
0=лабиринт,1=лабиринт
0=лад,1=лад
0=ландшафт,1=ландшафт
0=легион,1=легион
0=лен,1=лен
0=лесхоз,1=лесхоз
0=либерализм,1=либерализм
0=лимит,1=лимит
0=лимон,1=лимон
0=литр,1=литр
0=лифт,1=лифт
0=локомотив,1=локомотив
0=лом,1=лом
0=магазин,1=магазин
0=магнитофон,1=магнитофон
0=макет,1=макет
0=максимум,1=максимум
0=мандат,1=мандат
0=маневр,1=маневр
0=манер,1=манер
0=марксизм,1=марксизм
0=март,1=март
0=маршрут,1=маршрут
0=массив,1=массив
0=масштаб,1=масштаб
0=мат,1=мат
0=материал,1=материал
0=матрас,1=матрас
0=мел,1=мел
0=мемуары,1=мемуар
0=менеджмент,1=менеджмент
0=менталитет,1=менталитет
0=мерседес,1=мерседес
0=металл,1=металл
0=метод,1=метод
0=метр,1=метр
0=метрополитен,1=метрополитен
0=механизм,1=механизм
0=микрорайон,1=микрорайон
0=микрофон,1=микрофон
0=миллиард,1=миллиард
0=миллиметр,1=миллиметр
0=миллион,1=миллион
0=минерал,1=минерал
0=минимум,1=минимум
0=минус,1=минус
0=мир,1=мир
0=миф,1=миф
0=молот,1=молот
0=момент,1=момент
0=монитор,1=монитор
0=мороз,1=мороз
0=мост,1=мост
0=мотив,1=мотив
0=мотор,1=мотор
0=мотоцикл,1=мотоцикл
0=мрамор,1=мрамор
0=мундир,1=мундир
0=муниципалитет,1=муниципалитет
0=мускул,1=мускул
0=мусор,1=мусор
0=мыс,1=мыс
0=мюзикл,1=мюзикл
0=набор,1=набор
0=навес,1=навес
0=навоз,1=навоз
0=надзор,1=надзор
0=налёт,1=налёт
0=напор,1=напор
0=народ,1=народ
0=наряд,1=наряд
0=насос,1=насос
0=национализм,1=национализм
0=небоскреб,1=небоскрёб
0=нерв,1=нерв
0=нефтепродукты,1=нефтепродукт
0=низ,1=низ
0=норматив,1=норматив
0=нос,1=нос
0=нрав,1=нрав
0=нюанс,1=нюанс
0=обед,1=обед
0=обзор,1=обзор
0=обиход,1=обиход
0=обком,1=обком
0=обман,1=обман
0=обмен,1=обмен
0=оборот,1=оборот
0=образ,1=образ
0=обрыв,1=обрыв
0=обряд,1=обряд
0=обстрел,1=обстрел
0=обход,1=обход
0=объект,1=объект
0=объём,1=объём
0=огород,1=огород
0=одеколон,1=одеколон
0=озноб,1=озноб
0=океан,1=океан
0=оклад,1=оклад
0=окоп,1=окоп
0=опрос,1=опрос
0=оптимизм,1=оптимизм
0=опыт,1=опыт
0=ор,1=ор
0=оргазм,1=оргазм
0=орган,1=орган
0=организм,1=организм
0=оригинал,1=оригинал
0=ориентир,1=ориентир
0=оркестр,1=оркестр
0=осмотр,1=осмотр
0=отбор,1=отбор
0=ответ,1=ответ
0=отвод,1=отвод
0=отдел,1=отдел
0=отзыв,1=отзыв
0=отказ,1=отказ
0=откос,1=откос
0=отрыв,1=отрыв
0=отряд,1=отряд
0=отсчет,1=отсчёт
0=отход,1=отход
0=отчет,1=отчёт
0=отъезд,1=отъезд
0=офис,1=офис
0=павильон,1=павильон
0=пакет,1=пакет
0=пар,1=пар
0=парад,1=парад
0=парадокс,1=парадокс
0=параметр,1=параметр
0=парашют,1=парашют
0=паркет,1=паркет
0=парламент,1=парламент
0=паровоз,1=паровоз
0=пароход,1=пароход
0=патент,1=патент
0=патриотизм,1=патриотизм
0=патрон,1=патрон
0=пафос,1=пафос
0=перевал,1=перевал
0=перевод,1=перевод
0=переворот,1=переворот
0=передел,1=передел
0=переезд,1=переезд
0=перелом,1=перелом
0=перенос,1=перенос
0=переплёт,1=переплёт
0=перерыв,1=перерыв
0=пересмотр,1=пересмотр
0=переход,1=переход
0=период,1=период
0=перрон,1=перрон
0=персонал,1=персонал
0=пир,1=пир
0=пистолет,1=пистолет
0=плакат,1=плакат
0=план,1=план
0=пласт,1=пласт
0=плен,1=плен
0=пленум,1=пленум
0=плод,1=плод
0=плот,1=плот
0=плюс,1=плюс
0=поворот,1=поворот
0=погром,1=погром
0=подбор,1=подбор
0=подвал,1=подвал
0=поднос,1=поднос
0=подол,1=подол
0=подсчет,1=подсчёт
0=подтекст,1=подтекст
0=подход,1=подход
0=подъезд,1=подъезд
0=подъём,1=подъём
0=пожар,1=пожар
0=позор,1=позор
0=показ,1=показ
0=поклон,1=поклон
0=покров,1=покров
0=пол,1=пол
0=полигон,1=полигон
0=полимер,1=полимер
0=полис,1=полис
0=полуфабрикат,1=полуфабрикат
0=полюс,1=полюс
0=полёт,1=полёт
0=помидор,1=помидор
0=порт,1=порт
0=портрет,1=портрет
0=порыв,1=порыв
0=посев,1=посев
0=пост,1=пост
0=постулат,1=постулат
0=пот,1=пот
0=потенциал,1=потенциал
0=поход,1=поход
0=почет,1=почёт
0=предел,1=предел
0=предмет,1=предмет
0=презерватив,1=презерватив
0=президиум,1=президиум
0=препарат,1=препарат
0=пресс,1=пресс
0=престол,1=престол
0=прецедент,1=прецедент
0=прибор,1=прибор
0=привет,1=привет
0=привод,1=привод
0=приговор,1=приговор
0=приезд,1=приезд
0=приз,1=приз
0=призыв,1=призыв
0=приказ,1=приказ
0=приклад,1=приклад
0=прилив,1=прилив
0=пример,1=пример
0=принцип,1=принцип
0=приоритет,1=приоритет
0=прирост,1=прирост
0=приступ,1=приступ
0=приход,1=приход
0=прицел,1=прицел
0=причал,1=причал
0=приют,1=приют
0=приём,1=приём
0=пробел,1=пробел
0=провал,1=провал
0=прогноз,1=прогноз
0=прогресс,1=прогресс
0=продукт,1=продукт
0=проезд,1=проезд
0=проект,1=проект
0=произвол,1=произвол
0=прокат,1=прокат
0=пролетариат,1=пролетариат
0=пролив,1=пролив
0=прорыв,1=прорыв
0=просвет,1=просвет
0=просмотр,1=просмотр
0=проспект,1=проспект
0=простор,1=простор
0=протез,1=протез
0=протест,1=протест
0=протокол,1=протокол
0=прототип,1=прототип
0=профессионализм,1=профессионализм
0=профсоюз,1=профсоюз
0=проход,1=проход
0=процент,1=процент
0=процесс,1=процесс
0=процессор,1=процессор
0=проём,1=проём
0=пруд,1=пруд
0=псевдоним,1=псевдоним
0=пулемёт,1=пулемёт
0=пульс,1=пульс
0=пульт,1=пульт
0=пункт,1=пункт
0=пыл,1=пыл
0=пьедестал,1=пьедестал
0=радиатор,1=радиатор
0=радиус,1=радиус
0=разбор,1=разбор
0=развал,1=развал
0=развод,1=развод
0=разговор,1=разговор
0=разгон,1=разгон
0=разгром,1=разгром
0=раздел,1=раздел
0=размер,1=размер
0=разрез,1=разрез
0=разрыв,1=разрыв
0=разряд,1=разряд
0=разум,1=разум
0=райком,1=райком
0=район,1=район
0=рапорт,1=рапорт
0=раскол,1=раскол
0=распад,1=распад
0=рассвет,1=рассвет
0=рассказ,1=рассказ
0=расспрос,1=расспрос
0=расстрел,1=расстрел
0=раствор,1=раствор
0=расход,1=расход
0=расцвет,1=расцвет
0=расчет,1=расчёт
0=раунд,1=раунд
0=реализм,1=реализм
0=револьвер,1=револьвер
0=регион,1=регион
0=регулятор,1=регулятор
0=реестр,1=реестр
0=режим,1=режим
0=резонанс,1=резонанс
0=результат,1=результат
0=рейд,1=рейд
0=рейс,1=рейс
0=реквизит,1=реквизит
0=рекорд,1=рекорд
0=рельеф,1=рельеф
0=рельс,1=рельс
0=ремонт,1=ремонт
0=репертуар,1=репертуар
0=ресторан,1=ресторан
0=ресурс,1=ресурс
0=референдум,1=референдум
0=рецепт,1=рецепт
0=ритм,1=ритм
0=ритуал,1=ритуал
0=род,1=род
0=роддом,1=роддом
0=роман,1=роман
0=романс,1=романс
0=рубин,1=рубин
0=ряд,1=ряд
0=сад,1=сад
0=сайт,1=сайт
0=салат,1=салат
0=салон,1=салон
0=салют,1=салют
0=саммит,1=саммит
0=самовар,1=самовар
0=самолёт,1=самолёт
0=сантиметр,1=сантиметр
0=сахар,1=сахар
0=сбор,1=сбор
0=сбыт,1=сбыт
0=свет,1=свет
0=светофор,1=светофор
0=свист,1=свист
0=свитер,1=свитер
0=свод,1=свод
0=сговор,1=сговор
0=сеанс,1=сеанс
0=сегмент,1=сегмент
0=сезон,1=сезон
0=сейф,1=сейф
0=секрет,1=секрет
0=секретариат,1=секретариат
0=секс,1=секс
0=сектор,1=сектор
0=семинар,1=семинар
0=сенат,1=сенат
0=сервер,1=сервер
0=сервис,1=сервис
0=сертификат,1=сертификат
0=сигнал,1=сигнал
0=силуэт,1=силуэт
0=символ,1=символ
0=симптом,1=симптом
0=синдром,1=синдром
0=синод,1=синод
0=синоним,1=синоним
0=синтез,1=синтез
0=сироп,1=сироп
0=скандал,1=скандал
0=сквер,1=сквер
0=скелет,1=скелет
0=склад,1=склад
0=склон,1=склон
0=скот,1=скот
0=скрип,1=скрип
0=след,1=след
0=смысл,1=смысл
0=снаряд,1=снаряд
0=соблазн,1=соблазн
0=собор,1=собор
0=совет,1=совет
0=совхоз,1=совхоз
0=сортир,1=сортир
0=состав,1=состав
0=сосуд,1=сосуд
0=соус,1=соус
0=социализм,1=социализм
0=союз,1=союз
0=спад,1=спад
0=спектр,1=спектр
0=спецназ,1=спецназ
0=спирт,1=спирт
0=сплав,1=сплав
0=спор,1=спор
0=спорт,1=спорт
0=способ,1=способ
0=спрос,1=спрос
0=стадион,1=стадион
0=стакан,1=стакан
0=стан,1=стан
0=стандарт,1=стандарт
0=старт,1=старт
0=статус,1=статус
0=ствол,1=ствол
0=стенд,1=стенд
0=стереотип,1=стереотип
0=стимул,1=стимул
0=стол,1=стол
0=столб,1=столб
0=стон,1=стон
0=стресс,1=стресс
0=стыд,1=стыд
0=субъект,1=субъект
0=сувенир,1=сувенир
0=суверенитет,1=суверенитет
0=сугроб,1=сугроб
0=суд,1=суд
0=суп,1=суп
0=супермаркет,1=супермаркет
0=сустав,1=сустав
0=счет,1=счёт
0=съезд,1=съезд
0=сыр,1=сыр
0=сюжет,1=сюжет
0=сюрприз,1=сюрприз
0=табурет,1=табурет
0=таз,1=таз
0=такт,1=такт
0=талант,1=талант
0=талон,1=талон
0=тамбур,1=тамбур
0=тариф,1=тариф
0=театр,1=театр
0=тезис,1=тезис
0=текст,1=текст
0=телевизор,1=телевизор
0=телеканал,1=телеканал
0=телефон,1=телефон
0=темп,1=темп
0=темперамент,1=темперамент
0=тендер,1=тендер
0=теннис,1=теннис
0=теплоход,1=теплоход
0=теракт,1=теракт
0=термин,1=термин
0=терминал,1=терминал
0=террор,1=террор
0=терроризм,1=терроризм
0=тест,1=тест
0=техникум,1=техникум
0=тип,1=тип
0=титул,1=титул
0=товар,1=товар
0=тон,1=тон
0=топор,1=топор
0=торт,1=торт
0=тост,1=тост
0=тракт,1=тракт
0=трактат,1=трактат
0=трактор,1=трактор
0=транзит,1=транзит
0=транслит,1=транслит
0=транспорт,1=транспорт
0=трап,1=трап
0=трепет,1=трепет
0=трест,1=трест
0=трибунал,1=трибунал
0=триумф,1=триумф
0=троллейбус,1=троллейбус
0=трон,1=трон
0=трос,1=трос
0=тротуар,1=тротуар
0=трубопровод,1=трубопровод
0=труд,1=труд
0=труп,1=труп
0=туалет,1=туалет
0=туберкулёз,1=туберкулёз
0=туман,1=туман
0=тур,1=тур
0=туризм,1=туризм
0=турнир,1=турнир
0=тыл,1=тыл
0=углерод,1=углерод
0=уговор,1=уговор
0=удар,1=удар
0=удел,1=удел
0=ужас,1=ужас
0=ужин,1=ужин
0=узор,1=узор
0=указ,1=указ
0=уклад,1=уклад
0=уклон,1=уклон
0=ум,1=ум
0=университет,1=университет
0=унитаз,1=унитаз
0=упор,1=упор
0=ураган,1=ураган
0=уран,1=уран
0=ус,1=ус
0=устав,1=устав
0=утес,1=утёс
0=уход,1=уход
0=учет,1=учёт
0=ущерб,1=ущерб
0=уют,1=уют
0=файл,1=файл
0=факел,1=факел
0=факт,1=факт
0=фактор,1=фактор
0=факультет,1=факультет
0=фасад,1=фасад
0=фашизм,1=фашизм
0=феномен,1=феномен
0=фермент,1=фермент
0=филиал,1=филиал
0=фильм,1=фильм
0=фильтр,1=фильтр
0=финал,1=финал
0=флакон,1=флакон
0=флот,1=флот
0=фокус,1=фокус
0=фольклор,1=фольклор
0=фон,1=фон
0=фонд,1=фонд
0=фонтан,1=фонтан
0=формат,1=формат
0=форум,1=форум
0=фотоаппарат,1=фотоаппарат
0=фрагмент,1=фрагмент
0=фронт,1=фронт
0=фрукт,1=фрукт
0=фундамент,1=фундамент
0=фунт,1=фунт
0=фургон,1=фургон
0=футбол,1=футбол
0=футляр,1=футляр
0=халат,1=халат
0=хаос,1=хаос
0=характер,1=характер
0=хвост,1=хвост
0=хлам,1=хлам
0=хлеб,1=хлеб
0=ход,1=ход
0=холл,1=холл
0=холм,1=холм
0=холст,1=холст
0=хор,1=хор
0=хохот,1=хохот
0=храм,1=храм
0=хрен,1=хрен
0=хруст,1=хруст
0=цемент,1=цемент
0=центнер,1=центнер
0=центр,1=центр
0=цикл,1=цикл
0=цилиндр,1=цилиндр
0=час,1=час
0=чемодан,1=чемодан
0=чемпионат,1=чемпионат
0=чин,1=чин
0=член,1=член
0=шанс,1=шанс
0=шар,1=шар
0=шарф,1=шарф
0=шедевр,1=шедевр
0=шип,1=шип
0=шкаф,1=шкаф
0=шлем,1=шлем
0=шнур,1=шнур
0=шоколад,1=шоколад
0=шрам,1=шрам
0=шрифт,1=шрифт
0=штаб,1=штаб
0=штамп,1=штамп
0=штат,1=штат
0=шторм,1=шторм
0=штраф,1=штраф
0=штурм,1=штурм
0=шум,1=шум
0=шёпот,1=шёпот
0=щит,1=щит
0=экзамен,1=экзамен
0=экземпляр,1=экземпляр
0=экран,1=экран
0=эксперимент,1=эксперимент
0=экспонат,1=экспонат
0=экспорт,1=экспорт
0=электорат,1=электорат
0=электрон,1=электрон
0=элемент,1=элемент
0=энтузиазм,1=энтузиазм
0=эпизод,1=эпизод
0=эскиз,1=эскиз
0=эталон,1=эталон
0=этап,1=этап
0=этнос,1=этнос
0=этюд,1=этюд
0=эфир,1=эфир
0=эффект,1=эффект
0=эшелон,1=эшелон
0=юмор,1=юмор
0=яд,1=яд
0=яр,1=яр
0=ярус,1=ярус
1+е#1+я#1+я#1+й#1+ю#1+ям#1+е#1+я#1+ем#1+ями#1+и#1+ях
0=бедствие,1=бедстви
0=бездействие,1=бездействи
0=безобразие,1=безобрази
0=безразличие,1=безразличи
0=безумие,1=безуми
0=бессилие,1=бессили
0=бессмертие,1=бессмерти
0=благополучие,1=благополучи
0=благословение,1=благословени
0=благосостояние,1=благосостояни
0=богословие,1=богослови
0=богослужение,1=богослужени
0=бытие,1=быти
0=введение,1=введени
0=вдохновение,1=вдохновени
0=ведение,1=ведени
0=величие,1=величи
0=взаимодействие,1=взаимодействи
0=взаимопонимание,1=взаимопонимани
0=взыскание,1=взыскани
0=видение,1=видени
0=владение,1=владени
0=влечение,1=влечени
0=влияние,1=влияни
0=вложение,1=вложени
0=внедрение,1=внедрени
0=внесение,1=внесени
0=внимание,1=внимани
0=возбуждение,1=возбуждени
0=возвращение,1=возвращени
0=воздействие,1=воздействи
0=возмездие,1=возмезди
0=возмещение,1=возмещени
0=возмущение,1=возмущени
0=вознаграждение,1=вознаграждени
0=возникновение,1=возникновени
0=возобновление,1=возобновлени
0=возражение,1=возражени
0=возрождение,1=возрождени
0=волнение,1=волнени
0=воображение,1=воображени
0=вооружение,1=вооружени
0=воплощение,1=воплощени
0=воскресение,1=воскресени
0=воспаление,1=воспалени
0=воспитание,1=воспитани
0=воспоминание,1=воспоминани
0=восприятие,1=восприяти
0=восстание,1=восстани
0=восстановление,1=восстановлени
0=восхищение,1=восхищени
0=восхождение,1=восхождени
0=впечатление,1=впечатлени
0=вращение,1=вращени
0=вручение,1=вручени
0=вскрытие,1=вскрыти
0=вступление,1=вступлени
0=вторжение,1=вторжени
0=вхождение,1=вхождени
0=выделение,1=выделени
0=вынесение,1=вынесени
0=выполнение,1=выполнени
0=выражение,1=выражени
0=выращивание,1=выращивани
0=высказывание,1=высказывани
0=выступление,1=выступлени
0=вычисление,1=вычислени
0=выявление,1=выявлени
0=выяснение,1=выяснени
0=голосование,1=голосовани
0=давление,1=давлени
0=дарование,1=даровани
0=движение,1=движени
0=действие,1=действи
0=деление,1=делени
0=десятилетие,1=десятилети
0=деяние,1=деяни
0=добавление,1=добавлени
0=доверие,1=довери
0=донесение,1=донесени
0=дополнение,1=дополнени
0=достижение,1=достижени
0=достояние,1=достояни
0=дыхание,1=дыхани
0=евангелие,1=Евангели
0=желание,1=желани
0=житие,1=жити
0=забвение,1=забвени
0=заблуждение,1=заблуждени
0=заболевание,1=заболевани
0=заведение,1=заведени
0=завершение,1=завершени
0=завещание,1=завещани
0=завоевание,1=завоевани
0=загрязнение,1=загрязнени
0=задание,1=задани
0=задержание,1=задержани
0=заклинание,1=заклинани
0=заключение,1=заключени
0=закрепление,1=закреплени
0=закрытие,1=закрыти
0=замечание,1=замечани
0=занятие,1=заняти
0=заполнение,1=заполнени
0=заражение,1=заражени
0=заседание,1=заседани
0=затруднение,1=затруднени
0=захоронение,1=захоронени
0=заявление,1=заявлени
0=звание,1=звани
0=звучание,1=звучани
0=здание,1=здани
0=здравоохранение,1=здравоохранени
0=землетрясение,1=землетрясени
0=злоупотребление,1=злоупотреблени
0=знание,1=знани
0=значение,1=значени
0=зрение,1=зрени
0=избрание,1=избрани
0=известие,1=извести
0=извещение,1=извещени
0=извинение,1=извинени
0=извлечение,1=извлечени
0=изгнание,1=изгнани
0=изготовление,1=изготовлени
0=издание,1=издани
0=изделие,1=издели
0=изложение,1=изложени
0=излучение,1=излучени
0=изменение,1=изменени
0=измерение,1=измерени
0=изобилие,1=изобили
0=изображение,1=изображени
0=изобретение,1=изобретени
0=изумление,1=изумлени
0=изучение,1=изучени
0=изъятие,1=изъяти
0=изыскание,1=изыскани
0=имение,1=имени
0=инвестирование,1=инвестировани
0=искажение,1=искажени
0=исключение,1=исключени
0=искушение,1=искушени
0=исполнение,1=исполнени
0=использование,1=использовани
0=исправление,1=исправлени
0=испытание,1=испытани
0=исследование,1=исследовани
0=истечение,1=истечени
0=исчезновение,1=исчезновени
0=исчисление,1=исчислени
0=катание,1=катани
0=колебание,1=колебани
0=командование,1=командовани
0=конструирование,1=конструировани
0=кормление,1=кормлени
0=кредитование,1=кредитовани
0=крепление,1=креплени
0=крещение,1=крещени
0=крушение,1=крушени
0=курение,1=курени
0=лезвие,1=лезви
0=лечение,1=лечени
0=лицензирование,1=лицензировани
0=лишение,1=лишени
0=машиностроение,1=машиностроени
0=мгновение,1=мгновени
0=мероприятие,1=мероприяти
0=месторождение,1=месторождени
0=милосердие,1=милосерди
0=мировоззрение,1=мировоззрени
0=мироздание,1=мироздани
0=мнение,1=мнени
0=многообразие,1=многообрази
0=моделирование,1=моделировани
0=молчание,1=молчани
